Date,Time,Open,High,Low,Close,Vol,OI
2025-05-13,11:06:00,23109,23111,23091,23091,237,0
2025-05-13,11:07:00,23092,23101,23086,23095,163,0
2025-05-13,11:08:00,23096,23100,23093,23097,113,0
2025-05-13,11:09:00,23095,23101,23089,23096,124,0
2025-05-13,11:10:00,23096,23110,23091,23107,137,0
2025-05-13,11:11:00,23109,23119,23109,23111,211,0
2025-05-13,11:12:00,23110,23111,23097,23100,219,0
2025-05-13,11:13:00,23100,23106,23095,23097,191,0
2025-05-13,11:14:00,23097,23101,23088,23089,161,0
2025-05-13,11:15:00,23087,23104,23084,23098,217,0
2025-05-13,11:16:00,23097,23097,23087,23088,62,0
2025-05-13,11:17:00,23086,23090,23081,23083,107,0
2025-05-13,11:18:00,23084,23099,23083,23090,81,0
2025-05-13,11:19:00,23087,23087,23071,23073,212,0
2025-05-13,11:20:00,23074,23078,23066,23066,187,0
2025-05-13,11:21:00,23068,23074,23063,23068,148,0
2025-05-13,11:22:00,23068,23069,23060,23068,105,0
2025-05-13,11:23:00,23067,23069,23046,23049,215,0
2025-05-13,11:24:00,23050,23055,23045,23054,203,0
2025-05-13,11:25:00,23051,23054,23041,23049,177,0
2025-05-13,11:26:00,23051,23058,23049,23051,98,0
2025-05-13,11:27:00,23050,23060,23050,23057,85,0
2025-05-13,11:28:00,23055,23056,23048,23053,135,0
2025-05-13,11:29:00,23051,23055,23050,23052,61,0
2025-05-13,11:30:00,23050,23059,23046,23046,125,0
2025-05-13,11:31:00,23045,23055,23044,23051,103,0
2025-05-13,11:32:00,23049,23061,23048,23058,97,0
2025-05-13,11:33:00,23058,23062,23054,23059,157,0
2025-05-13,11:34:00,23059,23066,23058,23063,138,0
2025-05-13,11:35:00,23065,23075,23063,23074,142,0
2025-05-13,11:36:00,23071,23074,23063,23065,103,0
2025-05-13,11:37:00,23064,23067,23060,23060,48,0
2025-05-13,11:38:00,23060,23077,23057,23073,211,0
2025-05-13,11:39:00,23072,23072,23060,23066,62,0
2025-05-13,11:40:00,23064,23064,23059,23063,99,0
2025-05-13,11:41:00,23062,23062,23052,23053,50,0
2025-05-13,11:42:00,23051,23054,23045,23054,148,0
2025-05-13,11:43:00,23054,23067,23054,23066,69,0
2025-05-13,11:44:00,23064,23066,23062,23065,60,0
2025-05-13,11:45:00,23066,23068,23055,23056,69,0
2025-05-13,11:46:00,23055,23056,23043,23043,83,0
2025-05-13,11:47:00,23042,23049,23039,23041,127,0
2025-05-13,11:48:00,23040,23045,23040,23040,61,0
2025-05-13,11:49:00,23042,23050,23042,23049,56,0
2025-05-13,11:50:00,23048,23058,23048,23055,58,0
2025-05-13,11:51:00,23052,23060,23052,23057,74,0
2025-05-13,11:52:00,23057,23060,23056,23058,57,0
2025-05-13,11:53:00,23057,23061,23055,23055,64,0
2025-05-13,11:54:00,23056,23058,23053,23053,30,0
2025-05-13,11:55:00,23053,23057,23051,23056,77,0
2025-05-13,11:56:00,23057,23059,23049,23051,71,0
2025-05-13,11:57:00,23049,23055,23048,23052,48,0
2025-05-13,11:58:00,23052,23059,23052,23057,73,0
2025-05-13,11:59:00,23058,23059,23054,23057,64,0
2025-05-13,12:58:00,23062,23062,23062,23062,27,0
2025-05-13,13:00:00,23059,23063,23037,23045,579,0
2025-05-13,13:01:00,23045,23080,23042,23076,294,0
2025-05-13,13:02:00,23075,23086,23070,23083,267,0
2025-05-13,13:03:00,23082,23088,23075,23079,222,0
2025-05-13,13:04:00,23080,23092,23074,23090,265,0
2025-05-13,13:05:00,23089,23104,23087,23101,227,0
2025-05-13,13:06:00,23102,23110,23093,23108,230,0
2025-05-13,13:07:00,23109,23113,23106,23110,176,0
2025-05-13,13:08:00,23112,23115,23108,23111,181,0
2025-05-13,13:09:00,23110,23111,23100,23110,183,0
2025-05-13,13:10:00,23111,23129,23111,23124,282,0
2025-05-13,13:11:00,23122,23135,23122,23131,180,0
2025-05-13,13:12:00,23132,23132,23117,23123,128,0
2025-05-13,13:13:00,23123,23133,23121,23122,129,0
2025-05-13,13:14:00,23121,23142,23119,23141,236,0
2025-05-13,13:15:00,23141,23148,23136,23138,226,0
2025-05-13,13:16:00,23137,23143,23129,23132,135,0
2025-05-13,13:17:00,23133,23137,23130,23134,101,0
2025-05-13,13:18:00,23134,23134,23126,23126,101,0
2025-05-13,13:19:00,23127,23127,23113,23113,156,0
2025-05-13,13:20:00,23116,23119,23105,23114,193,0
2025-05-13,13:21:00,23116,23118,23109,23116,102,0
2025-05-13,13:22:00,23115,23116,23097,23103,101,0
2025-05-13,13:23:00,23104,23105,23100,23104,72,0
2025-05-13,13:24:00,23104,23105,23096,23098,111,0
2025-05-13,13:25:00,23096,23104,23093,23096,97,0
2025-05-13,13:26:00,23095,23102,23092,23093,116,0
2025-05-13,13:27:00,23093,23108,23092,23105,93,0
2025-05-13,13:28:00,23105,23106,23100,23101,54,0
2025-05-13,13:29:00,23101,23108,23099,23107,65,0
2025-05-13,13:30:00,23107,23113,23098,23099,140,0
2025-05-13,13:31:00,23099,23101,23085,23093,108,0
2025-05-13,13:32:00,23091,23092,23073,23074,181,0
2025-05-13,13:33:00,23076,23089,23074,23078,131,0
